Query,MAP,MRR
BR11218,0.5,0.5
BR11566,0.24285714285714285,0.2
BR11568,0.8333333333333333,1.0
BR11846,0.5,0.5
BR12760,0.25,0.25
BR7905,0.3333333333333333,0.3333333333333333
BR8515,0.3333333333333333,0.3333333333333333
Avg,0.4275510204081633,0.4452380952380953
