Query,MAP,MRR
BR1149,1.0,1.0
BR1257,0.75,1.0
BR1268,0.3333333333333333,0.3333333333333333
BR450,1.0,1.0
BR772,1.0,1.0
Avg,0.8166666666666668,0.8666666666666668
